author,reviews,distinct_genres,distinct_countries,indie_share,first_review,latest_review,active_days,genre_entropy_bits
A. Evan Woodward,1,0,1,0.0000,2016-11-09,2016-11-09,0,
Aaron Carnes,2,0,2,0.5000,2016-12-19,2017-02-28,71,
Adam Badí Donoval,5,2,3,0.8000,2016-12-02,2019-01-07,766,1.000
Alan Ranta,1,1,1,1.0000,2021-03-24,2021-03-24,0,0.000
Alex Deller,4,2,3,0.7500,2021-09-22,2023-06-14,630,0.918
Alex Heigl,3,3,1,0.6667,2021-08-12,2022-08-22,375,1.585
Alex Smith,1,1,1,1.0000,2019-02-12,2019-02-12,0,0.000
Alex Westfall,4,3,2,1.0000,2020-02-20,2021-09-24,582,1.500
Alex Wexelman,1,0,1,0.0000,2016-08-16,2016-08-16,0,
Allison Crutchfield,2,2,1,1.0000,2019-01-09,2019-01-14,5,1.000
Allison Hussey,11,5,2,0.8182,2017-01-19,2020-05-27,1224,2.156
Ally-Jane Grossan,2,2,2,0.5000,2018-03-02,2018-08-17,168,1.000
Aly Comingore,3,1,2,0.6667,2017-10-16,2018-05-23,219,0.000
Ama Adi-Dako,1,1,1,0.0000,2021-02-04,2021-02-04,0,0.000
Amanda Cavalcanti,1,1,1,1.0000,2020-07-08,2020-07-08,0,0.000
Amanda Wicks,3,0,3,0.6667,2016-06-14,2016-10-10,118,
Amaya Garcia,48,10,11,0.8333,2016-12-21,2024-02-08,2605,2.849
Ammar Kalia,1,1,1,1.0000,2017-11-28,2017-11-28,0,0.000
Ana Gavrilovska,1,1,1,1.0000,2017-12-08,2017-12-08,0,0.000
Ana Leorne,1,1,1,1.0000,2023-06-05,2023-06-05,0,0.000
Andi Harriman,9,3,5,0.5556,2019-07-09,2023-07-03,1455,1.500
Andra Nikolayi,17,3,9,0.5882,2019-07-26,2023-08-16,1482,0.735
Andrew Dubber,9,6,3,1.0000,2011-10-28,2011-12-26,59,2.419
Andrew Martin,9,3,5,0.4444,2016-10-14,2017-08-21,311,1.585
Andrew Parks,46,6,7,0.7391,2016-08-22,2024-03-12,2759,1.735
Andy Battaglia,7,1,6,0.4286,2016-06-20,2017-10-06,473,0.000
Andy Beta,37,9,18,0.6486,2016-08-26,2023-03-20,2397,2.682
Andy O'Connor,9,3,3,0.5556,2016-06-27,2020-07-07,1471,1.149
Andy Thomas,12,8,5,0.4167,2018-01-03,2025-05-28,2702,2.732
Angel E. Fraden,1,1,1,0.0000,2019-02-21,2019-02-21,0,0.000
Ann-Derrick Gaillot,13,6,3,0.6923,2019-10-31,2023-10-18,1448,2.406
Anna White,8,4,3,0.7500,2019-03-20,2022-10-06,1296,1.842
Annie Howard,1,1,1,1.0000,2018-08-03,2018-08-03,0,0.000
Annie Zaleski,20,3,8,0.7000,2016-09-28,2022-04-12,2022,1.261
Antoinette Isama,1,0,1,1.0000,2022-09-08,2022-09-08,0,
April Clare Welsh,37,7,12,0.8108,2019-01-25,2026-09-17,2792,2.232
Ari Delaney,1,1,1,1.0000,2020-02-06,2020-02-06,0,0.000
Arielle Gordon,11,6,4,0.5455,2020-09-15,2023-12-01,1172,2.522
Ashawnta Jackson,1,1,1,0.0000,2021-04-06,2021-04-06,0,0.000
Ashley Bardhan,4,3,2,0.7500,2021-03-08,2021-10-18,224,1.500
