country,features,distinct_artists,distinct_labels,distinct_genres,indie_share,first_feature,latest_feature,pct_of_all_features
Algeria,1,1,1,1,1.0000,2018-02-27,2018-02-27,0.05
Angola,1,1,1,1,0.0000,2026-01-23,2026-01-23,0.05
Argentina,2,2,1,2,1.0000,2018-12-03,2024-01-31,0.09
Australia,59,53,15,12,0.7458,2016-06-30,2026-04-24,2.67
Austria,2,2,1,1,1.0000,2016-12-01,2024-12-04,0.09
Belgium,11,11,2,8,0.9091,2019-01-16,2026-03-19,0.50
Belize,1,1,1,1,1.0000,2019-09-18,2019-09-18,0.05
Benin,1,1,1,1,0.0000,2022-09-20,2022-09-20,0.05
Brazil,14,14,3,8,0.8571,2016-09-23,2024-12-03,0.63
Canada,107,97,26,14,0.7477,2011-11-27,2026-05-18,4.85
China,5,5,4,2,0.4000,2016-11-03,2023-03-30,0.23
Colombia,2,2,1,2,1.0000,2025-03-06,2025-10-17,0.09
Czech Republic,1,1,1,1,1.0000,2018-05-03,2018-05-03,0.05
Democratic Republic of the Congo,1,1,1,1,1.0000,2021-05-13,2021-05-13,0.05
Denmark,5,5,1,2,1.0000,2016-11-18,2022-05-04,0.23
Ecuador,2,2,1,2,1.0000,2019-01-22,2019-07-24,0.09
Egypt,3,3,2,3,0.6667,2018-01-17,2024-07-09,0.14
Estonia,1,1,1,1,1.0000,2018-02-09,2018-02-09,0.05
Ethiopia,6,6,3,4,0.6667,2020-07-02,2026-05-05,0.27
Faroe Islands,1,1,1,1,1.0000,2018-01-18,2018-01-18,0.05
Finland,6,5,2,4,0.8333,2018-02-01,2025-07-30,0.27
France,52,45,17,13,0.4231,2016-06-28,2025-12-05,2.36
Georgia,1,1,1,1,1.0000,2018-08-02,2018-08-02,0.05
Germany,67,61,27,14,0.4179,2016-06-20,2026-03-12,3.04
Ghana,6,6,1,3,1.0000,2018-02-13,2025-11-06,0.27
Greece,8,8,2,3,0.8750,2016-12-12,2024-04-08,0.36
Guadeloupe,1,1,1,1,0.0000,2023-02-21,2023-02-21,0.05
Guyana,2,2,2,2,0.5000,2018-12-12,2019-06-28,0.09
Haiti,1,1,1,1,0.0000,2020-05-22,2020-05-22,0.05
Hong Kong,1,1,1,1,1.0000,2026-02-18,2026-02-18,0.05
Iceland,2,2,1,2,1.0000,2018-12-19,2025-09-24,0.09
Indonesia,2,2,1,2,1.0000,2024-08-12,2026-04-30,0.09
Iran,2,2,2,2,0.0000,2022-07-18,2023-01-24,0.09
Ireland,11,11,4,6,0.6364,2017-11-20,2026-03-04,0.50
Israel,3,3,2,2,0.6667,2017-03-14,2022-04-22,0.14
Italy,21,18,10,8,0.2857,2017-01-05,2026-04-09,0.95
Jamaica,2,2,1,1,1.0000,2022-04-04,2025-08-21,0.09
Japan,31,30,12,11,0.6129,2017-08-17,2026-05-01,1.40
Jordan,1,1,1,1,0.0000,2025-10-31,2025-10-31,0.05
Kenya,4,3,1,2,1.0000,2023-03-03,2026-02-17,0.18
Lebanon,5,5,3,5,0.4000,2024-01-19,2026-04-29,0.23
Lithuania,1,1,1,1,0.0000,2020-05-28,2020-05-28,0.05
Madagascar,1,1,1,1,0.0000,2019-09-13,2019-09-13,0.05
Mali,6,5,4,1,0.5000,2019-03-08,2023-11-20,0.27
Mexico,8,7,4,3,0.5000,2018-02-22,2026-04-14,0.36
Morocco,3,3,1,2,1.0000,2017-09-26,2021-03-22,0.14
Netherlands,11,11,6,8,0.5455,2016-09-26,2026-01-27,0.50
New Zealand,15,12,2,5,0.9333,2016-12-20,2026-05-08,0.68
Niger,5,4,3,2,0.6000,2017-12-08,2024-09-23,0.23
