year,genre_tag,features,pct_of_year,rank_in_year
2011,World,3,33.33,1
2011,Hip-Hop/Rap,2,22.22,2
2011,Pop,1,11.11,3
2011,Alternative,1,11.11,3
2011,Folk,1,11.11,3
2011,Classical,1,11.11,3
2016,Alternative,2,66.67,1
2016,Hip-Hop/Rap,1,33.33,2
2017,Alternative,39,23.49,1
2017,Electronic,25,15.06,2
2017,Rock,12,7.23,3
2017,Experimental,11,6.63,4
2017,Hip-Hop/Rap,11,6.63,4
2017,Punk,10,6.02,6
2017,Pop,10,6.02,6
2017,Metal,9,5.42,8
2017,Ambient,8,4.82,9
2017,World,8,4.82,9
2017,Jazz,7,4.22,11
2017,R&B/Soul,4,2.41,12
2017,Folk,3,1.81,13
2017,Country,3,1.81,13
2017,Classical,1,0.60,15
2017,Reggae,1,0.60,15
2017,Funk,1,0.60,15
2017,Acoustic,1,0.60,15
2017,Comedy,1,0.60,15
2017,Soundtrack,1,0.60,15
2018,Electronic,49,21.68,1
2018,Alternative,47,20.80,2
2018,Metal,20,8.85,3
2018,Hip-Hop/Rap,19,8.41,4
2018,Experimental,18,7.96,5
2018,Jazz,18,7.96,5
2018,Rock,9,3.98,7
2018,Ambient,8,3.54,8
2018,Funk,8,3.54,8
2018,World,6,2.65,10
2018,Punk,6,2.65,10
2018,R&B/Soul,6,2.65,10
2018,Pop,5,2.21,13
2018,Folk,4,1.77,14
2018,Reggae,2,0.88,15
2018,Latin,1,0.44,16
2019,Electronic,29,16.11,1
2019,Alternative,28,15.56,2
2019,Rock,16,8.89,3
2019,World,15,8.33,4
2019,Jazz,15,8.33,4
2019,Experimental,13,7.22,6
2019,Metal,11,6.11,7
2019,Punk,10,5.56,8
2019,R&B/Soul,10,5.56,8
2019,Hip-Hop/Rap,10,5.56,8
2019,Pop,9,5.00,11
2019,Ambient,4,2.22,12
2019,Folk,4,2.22,12
2019,Classical,3,1.67,14
2019,Reggae,1,0.56,15
2019,Blues,1,0.56,15
2019,Funk,1,0.56,15
2020,Alternative,39,18.06,1
2020,Electronic,32,14.81,2
2020,Jazz,22,10.19,3
2020,Hip-Hop/Rap,19,8.80,4
2020,Experimental,19,8.80,4
2020,R&B/Soul,16,7.41,6
2020,World,15,6.94,7
2020,Ambient,9,4.17,8
2020,Pop,9,4.17,8
2020,Metal,9,4.17,8
2020,Rock,9,4.17,8
2020,Punk,6,2.78,12
2020,Folk,4,1.85,13
2020,Funk,4,1.85,13
2020,Devotional,2,0.93,15
2020,Latin,1,0.46,16
2020,Classical,1,0.46,16
2021,Alternative,37,15.35,1
2021,Electronic,34,14.11,2
2021,Jazz,27,11.20,3
2021,Rock,21,8.71,4
2021,Hip-Hop/Rap,19,7.88,5
2021,Experimental,19,7.88,5
2021,Punk,14,5.81,7
2021,World,13,5.39,8
2021,Pop,12,4.98,9
2021,R&B/Soul,10,4.15,10
2021,Metal,9,3.73,11
2021,Ambient,9,3.73,11
2021,Latin,4,1.66,13
2021,Folk,4,1.66,13
2021,Funk,3,1.24,15
2021,Reggae,2,0.83,16
2021,Classical,2,0.83,16
2021,Country,1,0.41,18
2021,Soundtrack,1,0.41,18
2022,Experimental,27,12.80,1
2022,Electronic,27,12.80,1
2022,Rock,21,9.95,3
2022,Alternative,20,9.48,4
2022,Jazz,16,7.58,5
2022,Metal,13,6.16,6
2022,Punk,13,6.16,6
2022,Hip-Hop/Rap,12,5.69,8
2022,World,11,5.21,9
2022,R&B/Soul,11,5.21,9
2022,Ambient,10,4.74,11
2022,Folk,6,2.84,12
2022,Pop,6,2.84,12
2022,Latin,5,2.37,14
2022,Classical,4,1.90,15
2022,Funk,3,1.42,16
2022,Country,2,0.95,17
2022,Acoustic,1,0.47,18
2022,Devotional,1,0.47,18
2022,Reggae,1,0.47,18
2022,Soundtrack,1,0.47,18
2023,Electronic,38,20.65,1
2023,Alternative,25,13.59,2
2023,Experimental,25,13.59,2
2023,Hip-Hop/Rap,15,8.15,4
2023,Punk,14,7.61,5
2023,Rock,13,7.07,6
2023,Metal,10,5.43,7
2023,Folk,8,4.35,8
2023,Jazz,7,3.80,9
2023,World,7,3.80,9
2023,Pop,6,3.26,11
2023,R&B/Soul,3,1.63,12
2023,Ambient,3,1.63,12
2023,Classical,3,1.63,12
2023,Latin,2,1.09,15
2023,Funk,1,0.54,16
2023,Devotional,1,0.54,16
2023,Reggae,1,0.54,16
2023,Country,1,0.54,16
2023,Kids,1,0.54,16
2024,Electronic,35,15.70,1
2024,Alternative,25,11.21,2
2024,Rock,25,11.21,2
2024,Hip-Hop/Rap,21,9.42,4
2024,Jazz,18,8.07,5
2024,Punk,16,7.17,6
2024,Experimental,15,6.73,7
2024,World,13,5.83,8
