record_label,features,distinct_artists,distinct_authors,primary_genre,primary_country,first_feature,latest_feature
(Liv).e,1,1,1,,United States,2023-02-23,2023-02-23
100% Silk,1,1,1,Electronic,United States,2025-12-03,2025-12-03
20 Buck Spin,13,12,10,Metal,United States,2018-03-19,2026-08-10
577 Records,1,1,1,Jazz,United States,2022-01-21,2022-01-21
A L T E R,1,1,1,Alternative,United Kingdom,2017-12-22,2017-12-22
A. Billi Free,1,1,1,R&B/Soul,United States,2019-08-12,2019-08-12
A. G. Cook,1,1,1,Alternative,United States,2020-08-12,2020-08-12
Abdominal,1,1,1,Hip-Hop/Rap,Canada,2017-05-23,2017-05-23
Aboutface,1,1,1,World,United Kingdom,2025-06-09,2025-06-09
adlabels,1,1,1,Classical,Germany,2023-08-15,2023-08-15
Aesthetical,1,1,1,Electronic,France,2026-07-06,2026-07-06
Africa Express,1,1,1,World,Mali,2019-07-15,2019-07-15
Africa Seven,1,1,1,Spoken Word,United Kingdom,2024-11-27,2024-11-27
AGATUS,1,1,1,,Greece,2016-12-12,2016-12-12
Agent Blå,1,1,1,Alternative,Sweden,2017-06-09,2017-06-09
Agonia Records,1,1,1,Metal,Poland,2017-06-21,2017-06-21
Aisha Devi,2,1,2,Electronic,Switzerland,2018-05-11,2023-10-20
Akuphone,1,1,1,World,France,2025-10-01,2025-10-01
Allchival,1,1,1,Electronic,Ireland,2018-02-15,2018-02-15
Altin Gün,1,1,1,Rock,Netherlands,2023-03-31,2023-03-31
Alyssa Gengos,1,1,1,Pop,United States,2019-05-29,2019-05-29
Amanar De Kidal,1,1,1,World,Mali,2019-03-08,2019-03-08
Amirtha Kidambi,1,1,1,Jazz,United States,2024-03-14,2024-03-14
Amputated Vein Records,1,1,1,Metal,Japan,2017-09-20,2017-09-20
AMULETS,1,1,1,Experimental,United States,2025-02-27,2025-02-27
Analog Africa,6,5,3,Funk,Germany,2017-05-26,2025-11-10
Andreaus Haley,1,1,1,Hip-Hop/Rap,United States,2025-03-11,2025-03-11
Andrés,1,1,1,Hip-Hop/Rap,United States,2019-11-27,2019-11-27
Angélica Garcia,1,1,1,Pop,United States,2020-03-05,2020-03-05
Annie Hardy,1,1,1,Rock,United States,2021-06-09,2021-06-09
Another Planet,1,1,1,Hip-Hop/Rap,United States,2026-07-10,2026-07-10
Anthology Recordings,1,1,1,Funk,United States,2018-11-21,2018-11-21
Antiquated Future Records,1,1,1,Ambient,United States,2019-09-04,2019-09-04
Anysia Kym,1,1,1,R&B/Soul,United States,2025-05-05,2025-05-05
Arc Records,1,1,1,Jazz,United Kingdom,2020-01-10,2020-01-10
Armand Hammer,1,1,1,Hip-Hop/Rap,United States,2021-03-30,2021-03-30
ato.archives,1,1,1,Ambient,Japan,2026-04-23,2026-04-23
aufnahme + wiedergabe,1,1,1,Electronic,Germany,2018-01-08,2018-01-08
AVA. RECORDS,1,1,1,Electronic,Germany,2017-12-04,2017-12-04
Avantgarde Music,1,1,1,Metal,Italy,2018-04-19,2018-04-19
Avon Terror Corps,1,1,1,Electronic,United Kingdom,2021-06-10,2021-06-10
AYA Records,1,1,1,World,United States,2020-02-28,2020-02-28
Ba Da Bing Records,4,4,4,Alternative,United States,2017-07-21,2020-10-15
Babe City Records,1,1,1,,United States,2016-07-07,2016-07-07
Bastard Jazz Recordings,1,1,1,,United States,2016-10-14,2016-10-14
BBE,4,1,4,Jazz,United Kingdom,2018-02-23,2023-06-30
Beats In Space,1,1,1,Electronic,United States,2019-03-13,2019-03-13
Bei Bei & Shawn Lee,1,1,1,Electronic,United Kingdom,2017-07-19,2017-07-19
Belle and Sebastian,1,1,1,Alternative,United Kingdom,2022-05-06,2022-05-06
Below System Records,1,1,1,Hip-Hop/Rap,Netherlands,2019-08-02,2019-08-02
bernice,1,1,1,Pop,Canada,2017-06-28,2017-06-28
Betamax Super hi-Max Vision Catalogue (Champagne Dub),1,1,1,Alternative,United Kingdom,2024-02-07,2024-02-07
BIG BRAVE,1,1,1,Experimental,Canada,2021-09-22,2021-09-22
BIGMUTHA,1,1,1,Hip-Hop/Rap,United States,2024-04-23,2024-04-23
billy woods,1,1,1,,United States,2023-05-09,2023-05-09
Bilna'es بالناقص,2,2,1,Electronic,Palestine,2022-04-08,2023-07-27
Binker and Moses,1,1,1,Jazz,United Kingdom,2018-06-22,2018-06-22
Bitchin Bajas,1,1,1,Experimental,United States,2025-04-24,2025-04-24
Bjørn Torske & Prins Thomas,1,1,1,Electronic,Norway,2017-07-31,2017-07-31
Black Fire,2,2,1,Jazz,United States,2021-01-12,2021-10-05
Black Jungle Squad,1,1,1,Hip-Hop/Rap,United States,2017-12-19,2017-12-19
BLACK SOPRANO FAMILY,1,1,1,Hip-Hop/Rap,United States,2020-07-30,2020-07-30
Black Sweat Records,1,1,1,World,Italy,2026-04-09,2026-04-09
Black Techno Matters,1,1,1,Electronic,United States,2024-01-12,2024-01-12
BLACK TO COMM,1,1,1,Experimental,Germany,2023-07-14,2023-07-14
Blank Forms Editions,3,3,3,Experimental,United States,2019-06-11,2020-08-17
BLCR Laboratories,1,1,1,,Netherlands,2016-09-26,2016-09-26
Blockhead,1,1,1,Hip-Hop/Rap,United States,2026-07-15,2026-07-15
Blut Aus Nord,1,1,1,,France,2016-06-28,2016-06-28
Bon Iver,1,1,1,Alternative,United States,2016-09-29,2016-09-29
"Bonnie ""Prince"" Billy",1,1,1,Country,United States,2017-05-16,2017-05-16
Boot Records,1,1,1,Hip-Hop/Rap,United Kingdom,2025-10-06,2025-10-06
Boris with Merzbow,1,1,1,Metal,Japan,2020-12-02,2020-12-02
Born Bad Records,1,1,1,World,France,2020-07-23,2020-07-23
Brachliegen Tapes ☽,1,1,1,Experimental,United Kingdom,2024-02-12,2024-02-12
Brainfeeder,1,1,1,Electronic,United States,2018-11-26,2018-11-26
Brandon Seabrook,1,1,1,Experimental,United States,2023-05-31,2023-05-31
Bridget Hayden,1,1,1,Folk,United Kingdom,2025-01-08,2025-01-08
Bubbha Thomas & The Lightmen,1,1,1,Jazz,United States,2018-12-14,2018-12-14
Buh Records,3,3,3,Electronic,Peru,2019-03-28,2025-02-25
Built To Spill,1,1,1,Rock,United States,2020-04-30,2020-04-30
business casual,2,2,2,Electronic,,2017-02-01,2023-05-17
Business Of Dreams,1,1,1,Alternative,United States,2019-02-11,2019-02-11
BYG Records,3,3,2,Rock,United Kingdom,2024-05-24,2024-08-08
CAMP COPE,1,1,1,Rock,Australia,2018-03-02,2018-03-02
CAPRA,1,1,1,,United States,2023-10-11,2023-10-11
Caribou,2,1,2,Electronic,United Kingdom,2017-10-06,2026-02-06
Carla Bozulich / Evangelista,1,1,1,Experimental,United States,2018-05-10,2018-05-10
Caroline Shaw,1,1,1,Classical,United States,2019-04-23,2019-04-23
Carpark Records,1,1,1,Alternative,United States,2021-01-04,2021-01-04
caterina barbieri,1,1,1,Ambient,Germany,2022-07-08,2022-07-08
Chapter Music,1,1,1,Alternative,Australia,2026-09-04,2026-09-04
Charles 'Poppy Bob' Walker,1,1,1,Ambient,United States,2026-02-09,2026-02-09
Charly Records,1,1,1,Reggae,United Kingdom,2025-02-06,2025-02-06
CHERISE,1,1,1,,United Kingdom,2023-07-07,2023-07-07
Chicago Research,1,1,1,Electronic,United States,2022-08-09,2022-08-09
Chief Adjuah,1,1,1,Jazz,United States,2020-09-03,2020-09-03
Children Of Zeus,1,1,1,R&B/Soul,United Kingdom,2021-06-03,2021-06-03
CHINABOT,3,3,3,Electronic,United Kingdom,2018-06-28,2026-04-20
Chouk Bwa & The Ångstromers,1,1,1,World,Haiti,2020-05-22,2020-05-22
christelle bofale,1,1,1,Alternative,United States,2019-06-03,2019-06-03
Chromesthesia,1,1,1,Electronic,United Kingdom,2024-11-12,2024-11-12
Citrus City Records,1,1,1,,United States,2017-02-08,2017-02-08
Conjurer,1,1,1,Metal,United Kingdom,2019-08-19,2019-08-19
Constellation Records,1,1,1,Experimental,Canada,2025-09-17,2025-09-17
Constellation Tatsu,2,2,2,Electronic,United States,2023-01-18,2026-08-03
CONTAINER,1,1,1,Electronic,United Kingdom,2020-03-16,2020-03-16
Cosmic Vibrations,1,1,1,Jazz,United States,2020-09-21,2020-09-21
Counter Intuitive Records,1,1,1,Alternative,United States,2021-08-02,2021-08-02
courtney barnett,1,1,1,Alternative,Australia,2018-05-23,2018-05-23
Crater,1,1,1,Alternative,United States,2018-01-11,2018-01-11
cub,1,1,1,Alternative,Canada,2026-01-21,2026-01-21
Cuneiform Records,1,1,1,,United States,2017-02-23,2017-02-23
D-Vine Spirituals,1,1,1,R&B/Soul,United States,2022-01-14,2022-01-14
dagmar zuniga,1,1,1,Experimental,United States,2026-03-20,2026-03-20
Dälek,1,1,1,Hip-Hop/Rap,United States,2026-03-24,2026-03-24
Damon & Naomi,1,1,1,Alternative,United States,2021-08-06,2021-08-06
Damu The Fudgemunk,1,1,1,Hip-Hop/Rap,United States,2023-08-23,2023-08-23
Dana Jean Phoenix,1,1,1,Electronic,Canada,2020-04-22,2020-04-22
Dark Descent Records,1,1,1,Metal,United States,2024-06-14,2024-06-14
Dark Entries Records,1,1,1,Alternative,United States,2021-10-01,2021-10-01
Daupe,1,1,1,Hip-Hop/Rap,United Kingdom,2018-01-16,2018-01-16
Dave Okumu,1,1,1,,United Kingdom,2023-04-21,2023-04-21
David Moore / Bing & Ruth,1,1,1,Ambient,United States,2020-07-17,2020-07-17
David Ze,1,1,1,World,Angola,2026-01-23,2026-01-23
DAWN,2,1,1,Alternative,United States,2022-10-21,2024-10-09
Daydream Library Series,1,1,1,Alternative,United States,2021-11-17,2021-11-17
Death & Vanilla,1,1,1,Alternative,Sweden,2019-05-17,2019-05-17
Deathbomb Arc,2,2,2,Alternative,United States,2019-08-14,2025-04-28
DeathCollectorUK,1,1,1,Metal,United Kingdom,2023-06-23,2023-06-23
Decoherence Records,1,1,1,Metal,United States,2024-10-08,2024-10-08
Deerhoof,1,1,1,Alternative,,2020-07-16,2020-07-16
Dennis Bovell MBE,1,1,1,Reggae,United Kingdom,2024-11-14,2024-11-14
DENOUNCEMENT PYRE,1,1,1,,Australia,2016-08-01,2016-08-01
deranged records,2,2,2,,Canada,2017-03-17,2017-03-29
Derya Yıldırım & Grup Şimşek,1,1,1,World,Germany,2025-03-14,2025-03-14
dinamarca,1,1,1,Electronic,Sweden,2025-05-14,2025-05-14
Discotchari,1,1,1,Pop,United States,2025-10-24,2025-10-24
DIVISION 81 RECORDS,1,1,1,Jazz,United States,2021-05-17,2021-05-17
Diz Undone (fka Dizraeli),1,1,1,Hip-Hop/Rap,United Kingdom,2024-06-03,2024-06-03
DJ EARL,1,1,1,Electronic,United States,2020-12-01,2020-12-01
dj haram,1,1,1,Electronic,United States,2025-07-18,2025-07-18
Dj Manny,2,1,2,Electronic,United States,2021-07-27,2023-11-21
