article_id,article_url,article_slug,published_date,year,quarter,month,month_name,iso_week,day_of_month,day_of_week_num,day_of_week,author,title,genre_tag,artist,album,record_label,is_independent,label_location_raw,location_clean,city,state,country,spotify_match_status,spotify_id,spotify_url,spotify_artist_id,spotify_match_artist,spotify_match_album,spotify_release_date,spotify_release_date_precision,spotify_album_type,spotify_total_tracks,spotify_image_url,spotify_upc,spotify_ean,spotify_copyright,spotify_artist_status,spotify_artist_image_url,spotify_artist_url
f8bb3e7108af5b49,,,2011-10-28,2011,4,10,October,43,28,4,Friday,Andrew Dubber,"SNOWMINE, Laminate Pet Animal",Alternative,SNOWMINE,Laminate Pet Animal,Independent Artist,True,"Brooklyn, New York","Brooklyn, New York",Brooklyn,New York,United States,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85767s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
6994f0121e72977f,,,2011-11-06,2011,4,11,November,44,6,6,Sunday,Andrew Dubber,"Bryan John Appleby, Fire on the Vine",Pop,Bryan John Appleby,Fire on the Vine,Independent Artist,True,"Seattle, Washington","Seattle, Washington",Seattle,Washington,United States,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85768s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
01bfd63e9dbec0f0,,,2011-11-14,2011,4,11,November,46,14,0,Monday,Andrew Dubber,"Ott, Mir",World,Ott,Mir,Independent Artist,True,,,,,,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85768s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
e3ce18fb8c3e4d1c,,,2011-11-21,2011,4,11,November,47,21,0,Monday,Andrew Dubber,"Gargleblast Records Bandcamp, The Other Half of Everything",Folk,Gargleblast Records Bandcamp,The Other Half of Everything,Independent Artist,True,"Hamilton, UK","Hamilton, United Kingdom",Hamilton,,United Kingdom,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85768s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
f1ffe18cc3578f3f,,,2011-11-27,2011,4,11,November,47,27,6,Sunday,Andrew Dubber,"Philémon Cimon, Les Sessions Cubaines",World,Philémon Cimon,Les Sessions Cubaines,Independent Artist,True,"Montreal, Québec","Montréal, Québec",Montréal,Québec,Canada,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85768s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
78d06e2791fac828,,,2011-12-05,2011,4,12,December,49,5,0,Monday,Andrew Dubber,"Kwam MC, The Surgery EP",Hip-Hop/Rap,Kwam MC,The Surgery EP,Independent Artist,True,"London, UK","London, United Kingdom",London,,United Kingdom,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85768s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
f28865e6b3cd6136,,,2011-12-12,2011,4,12,December,50,12,0,Monday,Andrew Dubber,"Zubatto Syndicate, Zubatto Syndicate",World,Zubatto Syndicate,Zubatto Syndicate,Independent Artist,True,"Seattle, Washington","Seattle, Washington",Seattle,Washington,United States,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85769s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
3f61f238c0e6428e,,,2011-12-19,2011,4,12,December,51,19,0,Monday,Andrew Dubber,"Gabriel Kahane, Where are the Arms",Classical,Gabriel Kahane,Where are the Arms,Independent Artist,True,"Portland, Oregon","Portland, Oregon",Portland,Oregon,United States,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85769s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
0d9b3403ba071fb5,,,2011-12-26,2011,4,12,December,52,26,0,Monday,Andrew Dubber,"J-LIVE, S.P.T.A. Said Person of That Ability",Hip-Hop/Rap,J-LIVE,S.P.T.A. Said Person of That Ability,Independent Artist,True,"New York, New York","New York, New York",New York,New York,United States,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85769s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
4d6d50f0790509a1,,,2016-06-13,2016,2,6,June,24,13,0,Monday,Summer Kim Lee,"Mitski, Puberty 2",Alternative,Mitski,Puberty 2,Independent Artist,True,"New York, New York","New York, New York",New York,New York,United States,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 85770s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
