Date,Album,Artist,Tags,Record_Label,Record_Label_Loc,Author
"May 26, 2026",the color of rain,aja monet,Blues,Independent Artist,"Los Angeles, California",Jim Allen
"May 22, 2026",Mind Abandon,Ital Tek,Electronic,Independent Artist,"England, UK",Louis Pattison
"May 21, 2026",Abu,Takkak Takkak,,Nyege Nyege Tapes,"Kampala, Uganda",Oli Warwick
"May 20, 2026",Counting Sunsets,SUSS,Country,Independent Artist,"New York, New York",Ben Salmon
"May 19, 2026",The Anthology of UnAmerican Folk Music,Marisa Anderson,Folk,Independent Artist,"Portland, Oregon",Jim Allen
"May 18, 2026",Remembering Well,Death Kneel,Metal,Life Of Sensation,"Toronto, Ontario",Luke Jackson
"May 15, 2026",Paradise Metal,π. Διονύσιος Ταμπάκης,Devotional,HEAT CRIMES,NA,J. Bennett
"May 14, 2026",Soltera y Su Sonido Sexual,Soltera & Sonido Sex,Electronic,SOLTERA,"Los Angeles, California",Richard Villegas
"May 13, 2026",Detached From The Rest Of You,Loraine James,Electronic,Independent Artist,"London, UK",Marshall Gu
"May 12, 2026",CEREMONIAL,Black Milk,Hip-Hop/Rap,Independent Artist,"Detroit, Michigan",Dylan Green
"May 11, 2026",Towards An Expanse,Dumama,Experimental,Independent Artist,South Africa,April Clare Welsh
"May 08, 2026",Train On The Island,Aldous Harding,Alternative,Independent Artist,New Zealand,Elle Carroll
"May 07, 2026",Cold Comfort,Stik Figa & Heather Grey,Hip-Hop/Rap,Stik Figa,"Fort Worth, Texas",Dash Lewis
"May 06, 2026",Poem 1,Ana Roxanne,Pop,Independent Artist,NA,Matthew Blackwell
"May 05, 2026",Resonance of Time (የጊዜ ቃና),Wesenyeleh Mebreku,World,Independent Artist,"Addis Ababa, Ethiopia",Dean Van Nguyen
"May 04, 2026",FENIAN,Kneecap,Hip-Hop/Rap,KNEECAP,"Belfast, UK",Sarah O&#39;Neal
